                                        ETUDE DE LA POPULATION

AGE MIN AGE MAX AGE MEDIAN
15 ans  45 ans  29 ans

COUNTRY              GENDER          % GENDER IN COUNTRY
BELGIUM              Female          50.00
BELGIUM              Male            50.00
FRANCE               Agender         01.69
FRANCE               Bigender        01.48
FRANCE               Female          42.41
FRANCE               Genderfluid     01.90
FRANCE               Genderqueer     01.69
FRANCE               Male            47.47
FRANCE               Non-binary      01.48
FRANCE               Polygender      01.90
LUXEMBOURG           Agender         10.00
LUXEMBOURG           Bigender        05.00
LUXEMBOURG           Female          40.00
LUXEMBOURG           Genderqueer     05.00
LUXEMBOURG           Male            40.00
SWITZERLAND          Female          50.00
SWITZERLAND          Polygender      50.00
SWITZERLAND          Polygender      50.00

                                        FIN DU RAPPORT
